Student_ID,First_Name,Last_Name,DOB,Department,Admission_Year,GPA,Grade,Fees_Status,Amount_Paid,Scholarship
7311,Ryan,Jordan,1999-07-04,Mathematics,1987,2.42,F,Paid,2786,Yes
7890,Robert,Jackson,2001-11-25,Biology,2008,2.1,F,Unpaid,0,Yes
1663,Tyler,Kramer,2001-07-05,,1977,3.11,C,Paid,0,Yes
5242,Michelle,Carroll,2002-09-29,Chemistry,2005,2.21,D,Paid,0,No
9376,Mark,Ramos,2005-11-16,Chemistry,1975,2.2,D,Unpaid,4866,No
8961,Johnny,Peterson,2002-06-30,Computer Science,2009,3.79,D,Unpaid,0,Yes
7634,Michael,Smith,2000-06-07,Chemistry,1978,3.31,C,Paid,,No
5969,David,Griffith,2004-01-26,Chemistry,2003,3,B,Unpaid,0,No
8808,Heather,Browning,2004-07-09,Physics,1972,3.33,B,Unpaid,11295,No
6866,,Beck,2001-09-01,Biology,2005,3.54,F,Unpaid,0,Yes
4578,Gregory,Bates,2003-11-13,Biology,2023,,B,Unpaid,6494,No
9268,Maria,Scott,2006-04-12,Biology,1985,3.07,F,Unpaid,0,Yes
3281,Jerry,Salazar,,Chemistry,1993,3.39,C,Paid,10155,Yes
5617,Michael,Jones,2002-02-28,Computer Science,1976,4,D,Paid,0,No
3289,Candace,Boyle,2000-11-05,Physics,2007,3.66,A,Paid,6765,No
2553,Douglas,Ramirez,2001-07-18,Biology,2018,3.93,F,Paid,0,Yes
5104,Aaron,Greer,2001-11-24,Physics,1984,3.16,F,Unpaid,,Yes
9725,Donna,Moreno,2005-01-05,Biology,1982,2.25,B,Paid,14515,Yes
3407,Jessica,Brown,2005-01-02,Biology,2017,2.47,F,Paid,16450,Yes
6081,Rachel,Fowler,2004-07-25,Mathematics,2015,3.02,C,Paid,0,No
2618,Julie,Riley,,Mathematics,1985,3.12,A,Unpaid,0,No
2208,Kelly,David,2005-11-10,Biology,1997,3.36,B,Unpaid,0,Yes
6409,Hannah,Chen,1999-05-21,Biology,1983,3.89,F,Paid,0,
8735,Sarah,Daniels,2002-07-27,Chemistry,2011,4.87,D,Paid,6453,No
2649,Jesse,Cruz,2006-03-05,Mathematics,2017,3.35,F,Paid,0,Yes
6796,Donald,Hamilton,2000-12-19,Mathematics,2020,3.81,F,,2359,Yes
8113,Shawn,Collins,1999-07-07,,1999,2.48,A,Unpaid,8983,No
6180,Thomas,Smith,2002-04-13,Computer Science,1993,3.9,D,Unpaid,1430,Yes
4350,Jasmine,Osborne,1999-10-20,Biology,1980,2.74,D,Unpaid,15203,No
8815,Jonathan,Weiss,2001-05-31,Chemistry,1988,2.5,F,Paid,0,No
8253,Anthony,Ramirez,2006-06-04,Computer Science,2019,2.92,F,Unpaid,0,No
9541,Jared,Scott,2000-07-23,Mathematics,1993,4.66,A,Paid,18984,Yes
5267,Matthew,Rose,2004-10-23,Chemistry,2007,3.93,B,Paid,0,No
2020,Susan,Stewart,2000-01-29,Biology,1983,3.28,B,Paid,0,No
9989,Kenneth,Peterson,2006-05-25,Physics,1984,3.58,F,Paid,15022,Yes
1230,Natalie,Thornton,2001-05-13,Chemistry,2001,3.05,A,Paid,18171,No
2528,Angela,Reynolds,2002-09-26,Physics,1991,3.72,A,Unpaid,7581,Yes
7534,Mark,Thomas,2000-06-07,Physics,1978,3.17,C,Paid,18081,No
1018,Brittany,Smith,1999-06-04,Mathematics,1988,3.03,B,Paid,0,No
9086,Christopher,Dixon,2004-04-13,Chemistry,2008,3.1,C,Unpaid,2465,No
6458,Amanda,Mueller,2001-10-02,Mathematics,2015,2.77,B,Paid,,Yes
4996,Kyle,Miles,2001-10-17,Chemistry,2022,3.58,F,Unpaid,,No
6328,Nicholas,Harrington,2002-06-11,Mathematics,2022,2.6,F,,0,Yes
2031,Dylan,Cruz,2002-11-09,Biology,1970,3.74,F,Paid,19068,No
4130,David,Marshall,2002-06-01,Chemistry,1975,3.77,A,Unpaid,,Yes
4632,Jeffrey,Johnson,2006-06-13,,2014,4,D,Paid,16234,
4909,William,Gaines,2003-04-21,Biology,1992,2.58,A,Unpaid,0,No
3334,Joel,Fields,2005-07-15,Biology,1990,2.92,C,Paid,0,
9896,Ivan,Lindsey,2003-09-30,Computer Science,2018,3.07,A,Unpaid,0,
8339,Nathan,Wolf,2000-05-13,Computer Science,2023,4.76,B,Unpaid,14085,No
2494,Elizabeth,Yoder,2004-03-27,Physics,1991,2,F,Paid,0,No
2318,Michelle,,2001-11-19,Biology,1972,3.41,C,Paid,0,Yes
6243,Carolyn,,2002-10-05,Chemistry,1975,2.31,B,,0,Yes
9322,Phillip,Moore,2001-02-18,Physics,2011,3.78,,Paid,14374,Yes
9016,Jacqueline,Lee,2002-08-18,Physics,1970,2.8,D,Unpaid,0,No
2786,,Gomez,2000-06-19,Physics,1989,2.59,B,Paid,0,No
5938,Kevin,Graves,2001-03-01,Biology,1977,2.72,B,Unpaid,0,
5769,Robert,Smith,,Biology,1981,3.16,B,Unpaid,16921,Yes
3044,Sara,Moss,2004-04-21,Biology,2018,3.36,C,Unpaid,2261,Yes
9969,Brittany,Duncan,1998-07-03,Chemistry,1988,3.7,B,Paid,0,No
6451,Kenneth,Allen,invalid_date,Chemistry,1983,2.33,C,Paid,13785,No
9852,Michael,Lopez,2002-07-02,Biology,2004,2.04,B,Unpaid,8029,No
4329,John,Chang,2001-03-09,Mathematics,2007,2.02,D,Unpaid,0,Yes
9965,Cynthia,Fisher,2001-11-03,Physics,1993,2.89,F,Unpaid,0,Yes
5712,Dana,Berry,2006-01-25,Computer Science,2000,2.1,D,,16841,No
8290,Allison,Young,2000-06-03,Chemistry,1976,2.69,B,Paid,0,No
2501,Nicholas,Reeves,2005-06-21,Physics,1998,3.88,F,Paid,16113,Yes
7306,Alan,Shields,2002-02-27,Chemistry,2004,3.46,,Unpaid,0,
6194,Suzanne,Jacobson,1998-11-26,Physics,2006,2.46,C,Unpaid,7801,Yes
4966,Rachel,Patrick,2003-05-20,Physics,1997,2.75,D,Paid,4354,Yes
5756,Scott,Garcia,2005-01-18,Biology,1978,3.13,B,Unpaid,7605,Yes
4012,Nathan,Lopez,1998-10-31,Physics,1975,2.69,D,Unpaid,0,No
4102,Stephanie,Alexander,2001-12-11,Mathematics,2010,3.28,B,Paid,0,Yes
4059,Christopher,Brown,1999-04-14,Physics,2001,,D,Paid,19016,Yes
1540,,Simmons,2000-09-23,Computer Science,1992,2.66,F,Paid,0,No
5260,Daniel,Foster,2000-03-11,Physics,1981,3.52,B,Unpaid,,No
8807,Daniel,Nelson,2004-08-28,,1990,3.66,D,Paid,1120,No
2131,Catherine,Kim,2001-04-08,Physics,1986,,D,Unpaid,0,Yes
2471,Eric,Todd,2000-01-03,Mathematics,2012,2.22,D,Paid,2867,Yes
3133,Jacqueline,Kelly,1999-06-14,Computer Science,1999,2.97,D,Paid,0,Yes
3450,Sarah,Murphy,2000-01-10,Physics,2015,2.3,B,Unpaid,0,Yes
